Datetime,Houston_Load,Settlement Point Price
2024-01-01 01:00:00,10484.137154,15.79
2024-01-01 02:00:00,10365.816869,16.81
2024-01-01 03:00:00,10206.968091,16.76
2024-01-01 04:00:00,10086.531805,17.39
2024-01-01 05:00:00,10097.438645,19.0
2024-01-01 06:00:00,10194.600576,21.4
2024-01-01 07:00:00,10344.874447,24.22
2024-01-01 08:00:00,10379.993893,28.39
2024-01-01 09:00:00,10409.818631,22.67
2024-01-01 10:00:00,10615.383403,19.54
2024-01-01 11:00:00,10851.983861,18.49
2024-01-01 12:00:00,11037.476991,17.9
2024-01-01 13:00:00,11153.521771,16.55
2024-01-01 14:00:00,11138.282527,14.46
2024-01-01 15:00:00,11132.887854,13.86
2024-01-01 16:00:00,11219.910376,13.18
2024-01-01 17:00:00,11357.365773,20.2
2024-01-01 18:00:00,11843.417815,36.47
2024-01-01 19:00:00,12095.186422,27.6
2024-01-01 20:00:00,12046.068724,23.92
2024-01-01 21:00:00,11982.718235,24.09
2024-01-01 22:00:00,11839.3521,22.19
2024-01-01 23:00:00,11528.263382,21.27
2024-01-02 01:00:00,10942.112971,19.23
2024-01-02 02:00:00,10812.566184,18.49
2024-01-02 03:00:00,10760.421199,18.94
2024-01-02 04:00:00,10866.231602,19.63
2024-01-02 05:00:00,11170.620638,20.74
2024-01-02 06:00:00,11743.526296,25.01
2024-01-02 07:00:00,12498.121481,35.81
2024-01-02 08:00:00,12940.494001,41.45
2024-01-02 09:00:00,13198.529429,34.71
2024-01-02 10:00:00,13390.773108,25.76
2024-01-02 11:00:00,13452.064469,22.72
2024-01-02 12:00:00,13448.305683,19.32
2024-01-02 13:00:00,13315.754859,18.08
2024-01-02 14:00:00,13252.83431,17.71
2024-01-02 15:00:00,13094.924649,17.17
2024-01-02 16:00:00,13082.362836,18.5
2024-01-02 17:00:00,13101.696765,24.22
2024-01-02 18:00:00,13539.684104,45.56
2024-01-02 19:00:00,13621.865442,37.62
2024-01-02 20:00:00,13471.646455,31.64
2024-01-02 21:00:00,13175.862413,26.73
2024-01-02 22:00:00,12822.872732,23.7
2024-01-02 23:00:00,12347.50363,24.77
2024-01-03 01:00:00,11634.185261,20.9
2024-01-03 02:00:00,11418.284209,19.18
2024-01-03 03:00:00,11347.977885,19.03
2024-01-03 04:00:00,11361.374702,19.22
2024-01-03 05:00:00,11553.798032,20.9
2024-01-03 06:00:00,12080.322358,23.34
2024-01-03 07:00:00,12754.396572,39.18
2024-01-03 08:00:00,13196.846625,42.49
2024-01-03 09:00:00,13368.720091,33.5
2024-01-03 10:00:00,13487.657662,24.81
2024-01-03 11:00:00,13361.116012,20.36
2024-01-03 12:00:00,13007.467265,19.2
2024-01-03 13:00:00,12718.420926,17.02
2024-01-03 14:00:00,12563.267661,16.67
2024-01-03 15:00:00,12407.942685,15.58
2024-01-03 16:00:00,12276.713469,15.33
2024-01-03 17:00:00,12281.992133,19.58
2024-01-03 18:00:00,12700.769595,42.26
2024-01-03 19:00:00,13036.052969,32.84
2024-01-03 20:00:00,13035.143555,27.85
