Datetime,Houston_Load,Settlement Point Price
2022-01-01 01:00:00,12054.939199,33.24
2022-01-01 02:00:00,11793.290315,25.9
2022-01-01 03:00:00,11460.841252,23.13
2022-01-01 04:00:00,11244.980243,18.57
2022-01-01 05:00:00,11073.085585,12.78
2022-01-01 06:00:00,11011.385994,15.66
2022-01-01 07:00:00,11067.715175,17.12
2022-01-01 08:00:00,11052.554919,18.97
2022-01-01 09:00:00,11330.829064,19.97
2022-01-01 10:00:00,11930.178538,21.76
2022-01-01 11:00:00,12591.364742,24.45
2022-01-01 12:00:00,13268.023904,27.35
2022-01-01 13:00:00,13861.015398,28.4
2022-01-01 14:00:00,14344.021327,29.82
2022-01-01 15:00:00,14614.906857,30.08
2022-01-01 16:00:00,14597.067349,28.49
2022-01-01 17:00:00,14273.787857,33.1
2022-01-01 18:00:00,13993.893171,43.65
2022-01-01 19:00:00,13924.683251,30.16
2022-01-01 20:00:00,13519.472479,27.25
2022-01-01 21:00:00,13131.476237,24.75
2022-01-01 22:00:00,12747.295975,25.0
2022-01-01 23:00:00,12274.50435,25.64
2022-01-02 01:00:00,10777.158984,27.1
2022-01-02 02:00:00,10084.401315,25.22
2022-01-02 03:00:00,9643.017602,24.17
2022-01-02 04:00:00,9491.985476,22.63
2022-01-02 05:00:00,9555.400497,23.18
2022-01-02 06:00:00,9799.055959,25.28
2022-01-02 07:00:00,10255.763553,29.83
2022-01-02 08:00:00,10839.823703,37.23
2022-01-02 09:00:00,11543.127454,43.16
2022-01-02 10:00:00,12212.070444,36.77
2022-01-02 11:00:00,12585.289187,34.95
2022-01-02 12:00:00,12755.545225,32.89
2022-01-02 13:00:00,12866.640376,29.73
2022-01-02 14:00:00,12819.434676,26.8
2022-01-02 15:00:00,12709.687056,25.82
2022-01-02 16:00:00,12633.851663,25.34
2022-01-02 17:00:00,12695.008751,30.48
2022-01-02 18:00:00,13283.98398,78.2
2022-01-02 19:00:00,13903.668231,91.26
2022-01-02 20:00:00,13944.221599,70.76
2022-01-02 21:00:00,13799.84883,61.47
2022-01-02 22:00:00,13613.319732,48.18
2022-01-02 23:00:00,13233.904986,39.37
2022-01-03 01:00:00,12495.895466,30.88
2022-01-03 02:00:00,12388.254729,30.36
2022-01-03 03:00:00,12294.078908,29.96
2022-01-03 04:00:00,12366.425508,29.6
2022-01-03 05:00:00,12685.30761,30.48
2022-01-03 06:00:00,13223.967842,38.32
2022-01-03 07:00:00,13926.167513,92.43
2022-01-03 08:00:00,14380.012046,100.17
2022-01-03 09:00:00,14425.425954,48.41
2022-01-03 10:00:00,14270.338687,35.83
2022-01-03 11:00:00,13993.848244,30.49
2022-01-03 12:00:00,13640.736943,28.64
2022-01-03 13:00:00,13207.457852,27.45
